App name,No.,Time,Source,Destination,Protocol,Length
eMBB_Synthetic,1,0.0,172.30.1.1,172.30.1.250,TCP,200
eMBB_Synthetic,2,7.461152,172.30.1.1,172.30.1.250,TCP,1400
eMBB_Synthetic,3,24.070802,172.30.1.1,172.30.1.250,TCP,200
eMBB_Synthetic,4,94.611231,172.30.1.1,172.30.1.250,TCP,200
eMBB_Synthetic,5,112.452917,172.30.1.1,172.30.1.250,QUIC,1500
eMBB_Synthetic,6,114.17571,172.30.1.1,172.30.1.250,TCP,800
eMBB_Synthetic,7,201.685295,172.30.1.1,172.30.1.250,TCP,1400
eMBB_Synthetic,8,210.257076,172.30.1.1,172.30.1.250,TCP,1400
eMBB_Synthetic,9,221.025846,172.30.1.1,172.30.1.250,TCP,800
eMBB_Synthetic,10,233.235583,172.30.1.1,172.30.1.250,DNS,64
eMBB_Synthetic,11,371.351202,172.30.1.1,172.30.1.250,QUIC,1200
eMBB_Synthetic,12,414.514456,172.30.1.1,172.30.1.250,QUIC,1500
eMBB_Synthetic,13,515.289706,172.30.1.1,172.30.1.250,QUIC,1200
eMBB_Synthetic,14,517.672445,172.30.1.1,172.30.1.250,QUIC,1200
eMBB_Synthetic,15,600.569114,172.30.1.1,172.30.1.250,QUIC,800
eMBB_Synthetic,16,626.614539,172.30.1.1,172.30.1.250,QUIC,1500
eMBB_Synthetic,17,630.473889,172.30.1.1,172.30.1.250,QUIC,1500
eMBB_Synthetic,18,718.133921,172.30.1.1,172.30.1.250,QUIC,800
eMBB_Synthetic,19,849.813088,172.30.1.1,172.30.1.250,QUIC,1200
eMBB_Synthetic,20,908.089955,172.30.1.1,172.30.1.250,QUIC,800
eMBB_Synthetic,21,912.338767,172.30.1.1,172.30.1.250,QUIC,1200
eMBB_Synthetic,22,925.369574,172.30.1.1,172.30.1.250,TCP,200
eMBB_Synthetic,23,1078.769912,172.30.1.1,172.30.1.250,QUIC,1500
eMBB_Synthetic,24,1086.507887,172.30.1.1,172.30.1.250,DNS,128
eMBB_Synthetic,25,1113.401525,172.30.1.1,172.30.1.250,QUIC,1200
eMBB_Synthetic,26,1141.781629,172.30.1.1,172.30.1.250,QUIC,1200
eMBB_Synthetic,27,1204.190264,172.30.1.1,172.30.1.250,QUIC,1500
eMBB_Synthetic,28,1206.85273,172.30.1.1,172.30.1.250,DNS,64
eMBB_Synthetic,29,1215.94685,172.30.1.1,172.30.1.250,TCP,800
