time_ms,machine,slice,direction,src_ip,dst_ip,packet_size
11.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,76.02
11.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.43
13.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,75.84
21.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.84
23.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.92
24.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.87
25.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.86
26.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,53.88
33.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,68.65
37.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,51.64
39.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,57.57
43.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.04
62.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,58.3
67.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67.65
73.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,67.39
75.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.52
77.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.22
81.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.13
85.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.93
89.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,53.91
98.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.41
99.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,58.53
100.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,71.71
105.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.1
113.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,60.33
115.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,50.84
117.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,70.25
125.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.78
129.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.3
131.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.49
139.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,56.91
141.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.4
146.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.23
149.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,68.22
150.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.83
152.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,66.11
153.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,70.1
161.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.56
162.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,76.77
165.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.07
174.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.67
180.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,55.36
184.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.77
185.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.92
196.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.42
197.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.36
198.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,53.5
204.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,51.71
208.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,50.44
209.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,60.79
210.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.61
212.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,62.49
214.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,67.01
214.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,72.61
215.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.94
217.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,48.25
277.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,76.46
287.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,55.07
357.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,54.26
1457.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.57
1757.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.71
1808.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.21
1809.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,60.93
1810.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67.53
1812.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,73.29
1812.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67.84
1813.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.0
1814.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.6
1815.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.44
1816.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,64.52
1818.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,50.81
1820.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,71.26
1821.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,48.69
1823.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,71.64
1824.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,67.81
1826.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,55.57
1827.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.46
1828.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.96
1830.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,51.1
1832.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,64.41
1833.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,68.54
1834.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.81
1835.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,60.27
1837.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,62.2
1839.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.54
1841.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,81.66
1842.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.19
1843.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.72
1844.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.87
1846.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,66.25
1846.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,73.35
1847.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.41
1847.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,53.55
1849.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,57.13
1850.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,66.55
1852.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,73.42
1854.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.63
1856.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.73
1856.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,71.98
1858.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.74
1858.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,61.76
1860.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.27
1861.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,70.16
1862.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,77.05
1862.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,69.82
1864.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,54.58
1865.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.01
1866.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.54
1867.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,63.51
1868.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.12
1869.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.66
1870.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.02
1883.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,55.5
1891.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,68.17
1892.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,62.84
1894.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,68.77
1903.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,75.89
1905.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.59
1908.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,71.41
1911.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,60.89
1916.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,50.58
1919.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,62.4
1924.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,60.92
1926.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.89
1927.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,56.56
1930.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,75.22
1933.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.55
1942.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,73.01
1943.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,73.4
2007.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.83
2008.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67.63
2009.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.64
2054.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.4
2064.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,53.0
2069.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,62.21
2079.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,68.84
2109.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,66.92
2205.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,58.72
2212.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67.01
2215.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,69.17
2216.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,75.27
2223.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,57.87
