sim_step,cell_id,dl_load,allocated_prb,max_prb
1,bs_1_cell_mid_freq,0.0963302752293578,21.0,218.0
2,bs_1_cell_mid_freq,0.09174311926605505,20.0,218.0
3,bs_1_cell_mid_freq,0.0871559633027523,19.0,218.0
4,bs_1_cell_mid_freq,0.08256880733944955,18.0,218.0
5,bs_1_cell_mid_freq,0.08256880733944955,18.0,218.0
6,bs_1_cell_mid_freq,0.10091743119266056,22.0,218.0
7,bs_1_cell_mid_freq,0.2889908256880734,63.0,218.0
8,bs_1_cell_mid_freq,0.2798165137614679,61.0,218.0
9,bs_1_cell_mid_freq,0.27522935779816515,60.0,218.0
10,bs_1_cell_mid_freq,0.26605504587155965,58.0,218.0
11,bs_1_cell_mid_freq,0.25688073394495414,56.0,218.0
12,bs_1_cell_mid_freq,0.25688073394495414,56.0,218.0
13,bs_1_cell_mid_freq,0.25229357798165136,55.0,218.0
14,bs_1_cell_mid_freq,0.4954128440366973,108.0,218.0
15,bs_1_cell_mid_freq,0.6422018348623854,140.0,218.0
16,bs_1_cell_mid_freq,0.7155963302752294,156.0,218.0
17,bs_1_cell_mid_freq,0.7522935779816514,164.0,218.0
18,bs_1_cell_mid_freq,0.8486238532110092,185.0,218.0
19,bs_1_cell_mid_freq,0.8807339449541285,192.0,218.0
20,bs_1_cell_mid_freq,0.908256880733945,198.0,218.0
21,bs_1_cell_mid_freq,0.9036697247706422,197.0,218.0
22,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
23,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
24,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
25,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
26,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
27,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
28,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
29,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
30,bs_1_cell_mid_freq,0.9403669724770642,205.0,218.0
31,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
32,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
33,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
34,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
35,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
36,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
37,bs_1_cell_mid_freq,0.9403669724770642,205.0,218.0
38,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
39,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
40,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
41,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
42,bs_1_cell_mid_freq,0.9403669724770642,205.0,218.0
43,bs_1_cell_mid_freq,0.9357798165137615,204.0,218.0
44,bs_1_cell_mid_freq,0.9357798165137615,204.0,218.0
45,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
46,bs_1_cell_mid_freq,0.9403669724770642,205.0,218.0
47,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
48,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
49,bs_1_cell_mid_freq,0.9403669724770642,205.0,218.0
50,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
51,bs_1_cell_mid_freq,0.9403669724770642,205.0,218.0
52,bs_1_cell_mid_freq,0.9220183486238532,201.0,218.0
53,bs_1_cell_mid_freq,0.9403669724770642,205.0,218.0
54,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
55,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
56,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
57,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
58,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
59,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
60,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
61,bs_1_cell_mid_freq,0.9541284403669725,208.0,218.0
62,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
63,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
64,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
65,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
66,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
67,bs_1_cell_mid_freq,0.9495412844036697,207.0,218.0
68,bs_1_cell_mid_freq,0.9357798165137615,204.0,218.0
